"checking_account";"duration_months";"credit_history";"purpose";"credit_amount";"savings";"present_employment_since";"installment_rate";"personal_status_sex";"other_deptors";"present_residence";"property";"age_years";"other_installment_plans";"housing";"existing_credits";"job";"people_liable_maintenance";"telephone";"foreign_worker";"response";"gender"
"No checking account";48;"all credits at this bank paid back duly";"business";3609;"... <  51 euro";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";1;"real estate";27;"stores";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";30;"critical account/other credits existing (not at this bank)";"radio/television";4530;"... <  51 euro";"4  <= ... < 7 years";4;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";26;"none";"rent";1;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";18;"existing credits paid back duly till now";"radio/television";1453;"... <  51 euro";"... < 1 year";3;"female : divorced/separated/married";"none";1;"real estate";26;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";6;"existing credits paid back duly till now";"education";1538;"... <  51 euro";"... < 1 year";1;"female : divorced/separated/married";"none";2;"unknown / no property";56;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";15;"existing credits paid back duly till now";"repairs";2631;"51 <= ... <  255 euro";"1  <= ... < 4 years";3;"female : divorced/separated/married";"none";2;"real estate";25;"none";"own";1;"unskilled - resident";1;"none";"yes";0;"female"
"No checking account";12;"critical account/other credits existing (not at this bank)";"car (new)";926;"... <  51 euro";"unemployed";1;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";38;"none";"own";1;"unemployed/ unskilled  - non-resident";1;"none";"yes";0;"female"
"No checking account";12;"existing credits paid back duly till now";"furniture/equipment";1123;"255 euro <= ... < 511 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";29;"none";"rent";1;"unskilled - resident";1;"none";"yes";1;"female"
">= 102 euro";24;"existing credits paid back duly till now";"radio/television";1377;"51 <= ... <  255 euro";".. >= 7 years";4;"female : divorced/separated/married";"none";2;"unknown / no property";47;"none";"for free";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";27;"existing credits paid back duly till now";"business";2528;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";1;"(if not real estate) building society savings agreement/ life insurance";32;"none";"own";1;"skilled employee / official";2;"yes, registered under the customers name";"yes";0;"female"
"No checking account";15;"existing credits paid back duly till now";"car (new)";5324;"255 euro <= ... < 511 euro";".. >= 7 years";1;"female : divorced/separated/married";"none";4;"unknown / no property";35;"none";"for free";1;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";12;"no credits taken/ all credits paid back duly";"furniture/equipment";2969;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";3;"(if not real estate) building society savings agreement/ life insurance";25;"none";"rent";2;"skilled employee / official";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";9;"existing credits paid back duly till now";"radio/television";1206;"... <  51 euro";".. >= 7 years";4;"female : divorced/separated/married";"none";4;"real estate";25;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"... <  0 euro";6;"all credits at this bank paid back duly";"education";1198;"... <  51 euro";".. >= 7 years";4;"female : divorced/separated/married";"none";4;"unknown / no property";35;"none";"for free";1;"skilled employee / official";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";6;"all credits at this bank paid back duly";"education";433;".. >= 511 euro";"... < 1 year";4;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";24;"bank";"rent";1;"skilled employee / official";2;"none";"yes";1;"female"
"... <  0 euro";12;"existing credits paid back duly till now";"car (new)";1228;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";2;"real estate";24;"none";"own";1;"unskilled - resident";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";9;"existing credits paid back duly till now";"radio/television";790;"255 euro <= ... < 511 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";3;"real estate";66;"none";"own";1;"unskilled - resident";1;"none";"yes";0;"female"
"No checking account";27;"existing credits paid back duly till now";"car (new)";2570;"... <  51 euro";"1  <= ... < 4 years";3;"female : divorced/separated/married";"none";3;"real estate";21;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
"No checking account";6;"critical account/other credits existing (not at this bank)";"car (new)";250;".. >= 511 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";2;"real estate";41;"bank";"own";2;"unskilled - resident";1;"none";"yes";0;"female"
"... <  0 euro";18;"existing credits paid back duly till now";"radio/television";1882;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";25;"bank";"rent";2;"skilled employee / official";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";48;"all credits at this bank paid back duly";"business";6416;"... <  51 euro";".. >= 7 years";4;"female : divorced/separated/married";"none";3;"unknown / no property";59;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";8;"existing credits paid back duly till now";"radio/television";760;"... <  51 euro";"4  <= ... < 7 years";4;"female : divorced/separated/married";"guarantor";2;"real estate";44;"none";"own";1;"unskilled - resident";1;"none";"yes";0;"female"
"No checking account";24;"existing credits paid back duly till now";"car (used)";2603;".. >= 511 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";28;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";4;"critical account/other credits existing (not at this bank)";"car (new)";3380;"... <  51 euro";"4  <= ... < 7 years";1;"female : divorced/separated/married";"none";1;"real estate";37;"none";"own";1;"skilled employee / official";2;"none";"yes";0;"female"
"0 <= ... <  102 euro";36;"all credits at this bank paid back duly";"domestic appliances";3990;"unknown/ no savings account";"... < 1 year";3;"female : divorced/separated/married";"none";2;"unknown / no property";29;"bank";"own";1;"unemployed/ unskilled  - non-resident";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";24;"existing credits paid back duly till now";"car (used)";11560;"... <  51 euro";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";23;"none";"rent";2;"management/ self-employed/highly qualified employee/ officer";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";30;"no credits taken/ all credits paid back duly";"business";4280;"51 <= ... <  255 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";26;"none";"rent";2;"unskilled - resident";1;"none";"yes";1;"female"
"... <  0 euro";15;"existing credits paid back duly till now";"car (new)";2511;"... <  51 euro";"unemployed";1;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";23;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"... <  0 euro";12;"existing credits paid back duly till now";"car (new)";1274;"... <  51 euro";"... < 1 year";3;"female : divorced/separated/married";"none";1;"real estate";37;"none";"own";1;"unskilled - resident";1;"none";"yes";1;"female"
"... <  0 euro";6;"existing credits paid back duly till now";"furniture/equipment";428;"... <  51 euro";".. >= 7 years";2;"female : divorced/separated/married";"none";1;"(if not real estate) building society savings agreement/ life insurance";49;"bank";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";18;"existing credits paid back duly till now";"car (new)";976;"... <  51 euro";"... < 1 year";1;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";23;"none";"own";1;"unskilled - resident";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";12;"existing credits paid back duly till now";"business";841;"51 <= ... <  255 euro";"4  <= ... < 7 years";2;"female : divorced/separated/married";"none";4;"real estate";23;"none";"rent";1;"unskilled - resident";1;"none";"yes";0;"female"
"No checking account";30;"critical account/other credits existing (not at this bank)";"radio/television";5771;"... <  51 euro";"4  <= ... < 7 years";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";25;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"... <  0 euro";24;"existing credits paid back duly till now";"car (new)";1285;"unknown/ no savings account";"4  <= ... < 7 years";4;"female : divorced/separated/married";"none";4;"unknown / no property";32;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
"No checking account";15;"critical account/other credits existing (not at this bank)";"car (new)";5045;"unknown/ no savings account";".. >= 7 years";1;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";59;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";18;"critical account/other credits existing (not at this bank)";"furniture/equipment";2124;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";4;"real estate";24;"none";"rent";2;"skilled employee / official";1;"none";"yes";1;"female"
"No checking account";10;"existing credits paid back duly till now";"car (used)";2901;"unknown/ no savings account";"... < 1 year";1;"female : divorced/separated/married";"none";4;"real estate";31;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"... <  0 euro";24;"existing credits paid back duly till now";"car (used)";2812;"unknown/ no savings account";".. >= 7 years";2;"female : divorced/separated/married";"none";4;"real estate";26;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"... <  0 euro";36;"critical account/other credits existing (not at this bank)";"education";8065;"... <  51 euro";"1  <= ... < 4 years";3;"female : divorced/separated/married";"none";2;"unknown / no property";25;"none";"own";2;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";1;"female"
"... <  0 euro";24;"existing credits paid back duly till now";"car (new)";1371;"unknown/ no savings account";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";4;"real estate";25;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
"... <  0 euro";18;"existing credits paid back duly till now";"radio/television";3509;"... <  51 euro";"4  <= ... < 7 years";4;"female : divorced/separated/married";"guarantor";1;"real estate";25;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";18;"existing credits paid back duly till now";"repairs";3872;"... <  51 euro";"unemployed";2;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";67;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";12;"existing credits paid back duly till now";"car (new)";836;"51 <= ... <  255 euro";"... < 1 year";4;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";23;"bank";"own";1;"unskilled - resident";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";21;"existing credits paid back duly till now";"business";1188;"... <  51 euro";".. >= 7 years";2;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";39;"none";"own";1;"skilled employee / official";2;"none";"yes";1;"female"
"No checking account";9;"existing credits paid back duly till now";"furniture/equipment";2301;"51 <= ... <  255 euro";"... < 1 year";2;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";22;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";12;"critical account/other credits existing (not at this bank)";"furniture/equipment";1258;"... <  51 euro";"... < 1 year";2;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";22;"none";"rent";2;"unskilled - resident";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";18;"critical account/other credits existing (not at this bank)";"radio/television";1795;"... <  51 euro";".. >= 7 years";3;"female : divorced/separated/married";"guarantor";4;"real estate";48;"bank";"rent";2;"unskilled - resident";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";20;"critical account/other credits existing (not at this bank)";"furniture/equipment";4272;"... <  51 euro";".. >= 7 years";1;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";24;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";12;"existing credits paid back duly till now";"car (new)";7472;"unknown/ no savings account";"unemployed";1;"female : divorced/separated/married";"none";2;"real estate";24;"none";"rent";1;"unemployed/ unskilled  - non-resident";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";15;"no credits taken/ all credits paid back duly";"car (new)";1778;"... <  51 euro";"... < 1 year";2;"female : divorced/separated/married";"none";1;"real estate";26;"none";"rent";2;"unemployed/ unskilled  - non-resident";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";36;"delay in paying off in the past";"car (new)";7432;"... <  51 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";54;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";6;"critical account/other credits existing (not at this bank)";"radio/television";1554;"... <  51 euro";"4  <= ... < 7 years";1;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";24;"none";"rent";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";18;"critical account/other credits existing (not at this bank)";"car (new)";3966;"... <  51 euro";".. >= 7 years";1;"female : divorced/separated/married";"none";4;"real estate";33;"bank";"rent";3;"skilled employee / official";1;"yes, registered under the customers name";"yes";1;"female"
"... <  0 euro";18;"existing credits paid back duly till now";"car (new)";1216;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";3;"(if not optin 1 or 2) car or other, not in attribute";23;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";1;"female"
"0 <= ... <  102 euro";24;"existing credits paid back duly till now";"radio/television";5084;"unknown/ no savings account";".. >= 7 years";2;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";42;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
">= 102 euro";15;"existing credits paid back duly till now";"radio/television";2327;"... <  51 euro";"... < 1 year";2;"female : divorced/separated/married";"none";3;"real estate";25;"none";"own";1;"unskilled - resident";1;"none";"yes";1;"female"
"No checking account";12;"existing credits paid back duly till now";"radio/television";886;"unknown/ no savings account";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";21;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";4;"existing credits paid back duly till now";"furniture/equipment";601;"... <  51 euro";"... < 1 year";1;"female : divorced/separated/married";"none";3;"real estate";23;"none";"rent";1;"unskilled - resident";2;"none";"yes";0;"female"
"No checking account";18;"existing credits paid back duly till now";"repairs";1943;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";4;"real estate";23;"none";"own";1;"skilled employee / official";1;"none";"yes";1;"female"
"No checking account";10;"existing credits paid back duly till now";"retraining";894;"unknown/ no savings account";"4  <= ... < 7 years";4;"female : divorced/separated/married";"none";3;"(if not real estate) building society savings agreement/ life insurance";40;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";15;"existing credits paid back duly till now";"car (new)";3959;"... <  51 euro";"1  <= ... < 4 years";3;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";29;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";1;"female"
"... <  0 euro";24;"existing credits paid back duly till now";"radio/television";2439;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";4;"real estate";35;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";1;"female"
"No checking account";15;"existing credits paid back duly till now";"furniture/equipment";2221;"255 euro <= ... < 511 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";20;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"... <  0 euro";18;"existing credits paid back duly till now";"radio/television";2389;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";1;"(if not optin 1 or 2) car or other, not in attribute";27;"stores";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"... <  0 euro";12;"existing credits paid back duly till now";"furniture/equipment";652;"... <  51 euro";".. >= 7 years";4;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";24;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";36;"delay in paying off in the past";"furniture/equipment";7678;"255 euro <= ... < 511 euro";"4  <= ... < 7 years";2;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";40;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";15;"existing credits paid back duly till now";"domestic appliances";874;"unknown/ no savings account";"... < 1 year";4;"female : divorced/separated/married";"none";1;"real estate";24;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";11;"critical account/other credits existing (not at this bank)";"car (new)";1322;".. >= 511 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";40;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";18;"critical account/other credits existing (not at this bank)";"radio/television";1098;"... <  51 euro";"unemployed";4;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";65;"none";"own";2;"unemployed/ unskilled  - non-resident";1;"none";"yes";0;"female"
"... <  0 euro";12;"existing credits paid back duly till now";"education";795;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";53;"none";"own";1;"skilled employee / official";1;"none";"yes";1;"female"
"... <  0 euro";21;"existing credits paid back duly till now";"radio/television";2606;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";28;"none";"rent";1;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";12;"critical account/other credits existing (not at this bank)";"furniture/equipment";1592;".. >= 511 euro";"4  <= ... < 7 years";3;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";35;"none";"own";1;"skilled employee / official";1;"none";"no";0;"female"
"No checking account";15;"existing credits paid back duly till now";"furniture/equipment";2186;"unknown/ no savings account";"4  <= ... < 7 years";1;"female : divorced/separated/married";"none";4;"real estate";33;"bank";"rent";1;"unskilled - resident";1;"none";"yes";0;"female"
"No checking account";15;"delay in paying off in the past";"car (used)";3594;"... <  51 euro";"... < 1 year";1;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";46;"none";"own";2;"unskilled - resident";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";9;"existing credits paid back duly till now";"car (new)";3195;"unknown/ no savings account";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";2;"real estate";33;"none";"own";1;"unskilled - resident";1;"none";"yes";0;"female"
"No checking account";36;"delay in paying off in the past";"radio/television";4454;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";4;"real estate";34;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";24;"critical account/other credits existing (not at this bank)";"furniture/equipment";4736;"... <  51 euro";"... < 1 year";2;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";25;"bank";"own";1;"unskilled - resident";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";30;"existing credits paid back duly till now";"radio/television";2991;"unknown/ no savings account";".. >= 7 years";2;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";25;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";48;"no credits taken/ all credits paid back duly";"others";18424;"... <  51 euro";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";32;"bank";"own";1;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"no";1;"female"
"No checking account";18;"critical account/other credits existing (not at this bank)";"furniture/equipment";1817;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";2;"unknown / no property";28;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"... <  0 euro";9;"existing credits paid back duly till now";"radio/television";1366;"... <  51 euro";"... < 1 year";3;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";22;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
"... <  0 euro";18;"critical account/other credits existing (not at this bank)";"furniture/equipment";1049;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";21;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";9;"existing credits paid back duly till now";"radio/television";1670;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";22;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";1;"female"
"... <  0 euro";12;"existing credits paid back duly till now";"radio/television";1498;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";1;"(if not optin 1 or 2) car or other, not in attribute";23;"bank";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
">= 102 euro";9;"existing credits paid back duly till now";"radio/television";745;"... <  51 euro";"1  <= ... < 4 years";3;"female : divorced/separated/married";"none";2;"real estate";28;"none";"own";1;"unskilled - resident";1;"none";"yes";1;"female"
"... <  0 euro";15;"existing credits paid back duly till now";"furniture/equipment";1845;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"guarantor";1;"(if not real estate) building society savings agreement/ life insurance";46;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";48;"no credits taken/ all credits paid back duly";"car (new)";8358;"255 euro <= ... < 511 euro";"... < 1 year";1;"female : divorced/separated/married";"none";1;"(if not optin 1 or 2) car or other, not in attribute";30;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";24;"existing credits paid back duly till now";"car (used)";4113;"255 euro <= ... < 511 euro";"... < 1 year";3;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";28;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
"No checking account";36;"existing credits paid back duly till now";"furniture/equipment";10974;"... <  51 euro";"unemployed";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";26;"none";"own";2;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";1;"female"
"... <  0 euro";12;"existing credits paid back duly till now";"car (new)";1893;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"guarantor";4;"(if not real estate) building society savings agreement/ life insurance";29;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";24;"critical account/other credits existing (not at this bank)";"radio/television";1231;".. >= 511 euro";".. >= 7 years";4;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";57;"none";"rent";2;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";30;"existing credits paid back duly till now";"radio/television";1715;"unknown/ no savings account";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";1;"(if not optin 1 or 2) car or other, not in attribute";26;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";15;"existing credits paid back duly till now";"radio/television";3568;"... <  51 euro";".. >= 7 years";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";54;"bank";"rent";1;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";24;"all credits at this bank paid back duly";"car (new)";1193;"... <  51 euro";"unemployed";1;"female : divorced/separated/married";"co-applicant";4;"unknown / no property";29;"none";"rent";2;"unemployed/ unskilled  - non-resident";1;"none";"yes";1;"female"
"No checking account";30;"critical account/other credits existing (not at this bank)";"radio/television";2831;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";33;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
">= 102 euro";24;"existing credits paid back duly till now";"radio/television";1258;"255 euro <= ... < 511 euro";"1  <= ... < 4 years";3;"female : divorced/separated/married";"none";3;"(if not optin 1 or 2) car or other, not in attribute";57;"none";"own";1;"unskilled - resident";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";6;"existing credits paid back duly till now";"radio/television";753;"... <  51 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"guarantor";3;"real estate";64;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
">= 102 euro";21;"existing credits paid back duly till now";"car (new)";2923;"51 <= ... <  255 euro";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";1;"(if not optin 1 or 2) car or other, not in attribute";28;"bank";"own";1;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";15;"critical account/other credits existing (not at this bank)";"furniture/equipment";1433;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";3;"(if not real estate) building society savings agreement/ life insurance";25;"none";"rent";2;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";13;"existing credits paid back duly till now";"radio/television";1409;"51 <= ... <  255 euro";"unemployed";2;"female : divorced/separated/married";"none";4;"real estate";64;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";12;"existing credits paid back duly till now";"furniture/equipment";1736;"... <  51 euro";"4  <= ... < 7 years";3;"female : divorced/separated/married";"none";4;"real estate";31;"none";"own";1;"unskilled - resident";1;"none";"yes";0;"female"
